Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:20:47 086a""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:20:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,08:22:07,3536.5,0,29.8685761,0.447899171,274.7608894,4.753580151,1.182893318,26.33498955,6,1.420000017,1,2.840000033,25.31416321,26.33498955,24.98887634,450.0355225,402.3925476,15.82446957,22.78809929,48.41693497,69.72303009,400.2442932,1798.964478,36.79788208,99.12335968,-2.432148933,-0.338868827,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667073822,0.00475358,299.4849895,298.4641632,287.83431,0.7857526,3.44172628,34.72164676,11.93354747,25.82457638,3.339390682,0.386883412,2.258832962,1.080557719,0.246631816,27.23522247,0.682818037,69.43388465,388.194457,0.053424031
19,08:22:11,3540.5,0,29.83177214,0.445791833,274.3635115,4.742670705,1.184994933,26.33837318,6,1.420000017,1,2.840000033,25.31198883,26.33837318,24.98967361,449.9389954,402.357666,15.82616329,22.77396393,48.42809677,69.68838501,400.2413025,1796.369507,36.84568405,99.12278748,-2.432148933,-0.338868827,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667068837,0.004742671,299.4883732,298.4619888,287.4191147,0.785770633,3.442413719,34.72878242,11.9548185,25.82518101,3.339510317,0.385310108,2.257418786,1.082091531,0.245608912,27.19567604,0.681889609,69.36616939,388.1770703,0.053308552
20,08:22:15,3545,0,29.88274331,0.444561656,273.83339,4.733105201,1.185455193,26.33439827,6,1.420000017,1,2.840000033,25.31041718,26.33439827,24.98831558,449.9799805,402.3291931,15.8272686,22.7610054,48.43636703,69.65576172,400.2495422,1800.674316,36.70771408,99.1235199,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.66708257,0.004733105,299.4843983,298.4604172,288.1078842,0.79923959,3.441606165,34.72037886,11.95937346,25.82240772,3.33896161,0.384390746,2.256150972,1.082810638,0.245011252,27.14332949,0.680620235,69.33593683,388.1243681,0.05338361
21,08:22:19,3549,0,29.88119207,0.443034258,273.5085785,4.724237332,1.186765789,26.33696365,6,1.420000017,1,2.840000033,25.31135178,26.33696365,24.98942947,450.0151367,402.3736877,15.83247375,22.75298882,48.44971466,69.6275177,400.2661743,1802.785522,37.11926651,99.12374878,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667110291,0.004724237,299.4869637,298.4613518,288.4456771,0.807631428,3.442127336,34.72555648,11.97256766,25.82415771,3.339307845,0.383248299,2.255361547,1.083946297,0.244268649,27.11119563,0.679737734,69.29244886,388.1696001,0.053341142
22,08:22:23,3553,0,29.95089586,0.442260294,272.9744669,4.716984748,1.186758713,26.33205605,6,1.420000017,1,2.840000033,25.31001472,26.33205605,24.98821449,450.0489197,402.3084717,15.83297157,22.74283981,48.45544052,69.60249329,400.271637,1799.014282,36.94093704,99.12445831,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667119395,0.004716985,299.482056,298.4600147,287.8422787,0.804774226,3.44113039,34.71525038,11.97241057,25.82103539,3.338690116,0.382668992,2.254371677,1.084318439,0.243892127,27.05844617,0.678520305,69.27681615,388.0712502,0.053467055
23,08:22:28,3557.5,0,29.95441362,0.439447511,272.2043266,4.703677205,1.189956225,26.33912659,6,1.420000017,1,2.840000033,25.30771637,26.33912659,24.9858284,449.9995117,402.2567749,15.83398914,22.72526741,48.46476364,69.55763245,400.2263184,1798.632568,36.89547729,99.12361145,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667043864,0.004703677,299.4891266,298.4577164,287.7812045,0.809704905,3.442566802,34.73003809,12.00477068,25.82342148,3.339162177,0.380561339,2.252610577,1.0865516,0.242522441,26.98187591,0.676692957,69.18052467,388.0178813,0.053406354
24,08:22:32,3561.5,0,29.94725359,0.438750997,272.1276594,4.694723606,1.189337964,26.33106422,6,1.420000017,1,2.840000033,25.30615997,26.33106422,24.9863987,450.0454712,402.3202515,15.83705616,22.71502495,48.47854614,69.53258514,400.2416687,1801.162476,36.96920013,99.12342072,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667069448,0.004694724,299.4810642,298.45616,288.1859897,0.820062768,3.440928939,34.71358145,11.9985565,25.8186121,3.338210756,0.380038873,2.251590974,1.086619781,0.242182956,26.97422447,0.676395629,69.17575202,388.0847614,0.053380704
25,08:22:36,3565.5,0,29.98443998,0.438077888,271.762646,4.687646562,1.189131869,26.32523918,6,1.420000017,1,2.840000033,25.3045578,26.32523918,24.98652649,450.0484924,402.2717896,15.83758259,22.70530128,48.48449707,69.50904083,400.2387695,1800.108154,36.96095657,99.12284851,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667064616,0.004687647,299.4752392,298.4545578,288.0172982,0.822345426,3.439746009,34.70184786,11.99654658,25.81489849,3.337476268,0.379533753,2.25061414,1.086862129,0.24185476,26.93788759,0.675569734,69.16450496,388.0186228,0.053447408
26,08:22:40,3569.5,0,29.97155419,0.435629794,271.190297,4.677081927,1.192237821,26.33384705,6,1.420000017,1,2.840000033,25.30387688,26.33384705,24.9866333,450.0163879,402.273407,15.84019947,22.69138336,48.49494553,69.4699173,400.3062134,1797.721313,37.02675629,99.12380981,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667177022,0.004677082,299.483847,298.4538769,287.6354037,0.822058702,3.44149419,34.71914766,12.0277643,25.81886196,3.338260179,0.377694885,2.249256369,1.08900381,0.240660117,26.88141542,0.674144232,69.07652099,388.0263655,0.053355413
27,08:22:44,3574,0,29.95054144,0.435188729,271.1606335,4.670394885,1.191589472,26.32657623,6,1.420000017,1,2.840000033,25.3013649,26.32657623,24.98592758,449.9776611,402.2640381,15.84076309,22.68310356,48.50374985,69.45470428,400.2539063,1801.291748,37.14585495,99.12347412,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667089844,0.004670395,299.4765762,298.4513649,288.2066732,0.83296478,3.440017501,34.70436778,12.02126422,25.81397057,3.337292763,0.37736329,2.248428029,1.088864734,0.240444717,26.87838404,0.674086192,69.07627334,388.0269851,0.05331773
28,08:22:48,3578,0,29.98665612,0.432784752,270.3674484,4.661576381,1.195062055,26.33820534,6,1.420000017,1,2.840000033,25.30165291,26.33820534,24.9875946,450.0066223,402.2452393,15.84250259,22.67186928,48.50831604,69.41921997,400.2616882,1800.333008,37.04079437,99.12361145,-2.432148933,-0.338868827,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667102814,0.004661576,299.4882053,298.4516529,288.0532748,0.834183631,3.442379616,34.72814969,12.05628041,25.81992912,3.338471274,0.375554395,2.247317561,1.091153713,0.239269809,26.7997979,0.672145801,68.98446987,387.9910191,0.053316017
